gene	logFCInfectedvsMock24	logFCInfected12vs4	logFCInfected24vs4	DEInfectedvsMock24	DEInfected12vs4	DEInfected24vs4
IFNL2	14.8869198315338	6.36967332509489	7.69955510529051	TRUE	TRUE	TRUE
IFNL3	14.768189606566	6.99763770972689	8.54189337228737	TRUE	TRUE	TRUE
IFNB1	13.9662394883793	7.64138757455454	9.64392698347186	TRUE	TRUE	TRUE
IFNL1	12.0317235562342	6.56556668217943	8.98347484445038	TRUE	TRUE	TRUE
RTL9	10.7780007497125	7.56121320287252	11.754408407034	TRUE	TRUE	TRUE
IFNL4	10.7770090887176	6.48951769905599	6.87438099934626	TRUE	TRUE	TRUE
ACTN2	10.6835067827994	6.31660715117614	10.2204202473087	TRUE	TRUE	TRUE
IL7R	10.5380052899286	1.41781302245001	5.31908586719524	TRUE	FALSE	TRUE
GBP5	10.5307467060014	6.38634034645078	8.48518409225639	TRUE	TRUE	TRUE
CCL5	10.1184045222496	6.240294186619	9.10106183878489	TRUE	TRUE	TRUE
WFDC5	10.085583925384	7.88674218515968	9.6217203479387	TRUE	TRUE	TRUE
ANGPT2	9.97981531769343	1.40822460079231	6.49088557902274	TRUE	FALSE	TRUE
CH25H	9.95292160273182	7.16970895779602	9.07136679365898	TRUE	TRUE	TRUE
SCN3A	9.37866550697373	5.77675332026765	9.17663664517209	TRUE	TRUE	TRUE
TRPC4	9.29636947822641	5.46751136574928	8.83516148407968	TRUE	TRUE	TRUE
SP8	9.19719950269574	5.17412105272256	8.73467186959964	TRUE	TRUE	TRUE
AL591222.1	9.19713234780742	6.70525365784792	8.73172930636129	TRUE	TRUE	TRUE
RANBP3L	9.18195479073654	2.85864125440567	8.7209447547756	TRUE	FALSE	TRUE
ATP4A	9.16085951179289	5.86542129890157	8.69655300620927	TRUE	TRUE	TRUE
LRRN3	9.05197472647698	7.80839729710672	8.58730848279267	TRUE	TRUE	TRUE
MMD2	9.02920151621242	6.17284333947406	8.56635039891778	TRUE	TRUE	TRUE
IFNA7	8.82575030933904	1.43060176158282	8.36241296032666	TRUE	FALSE	TRUE
AC068299.1	8.81951256943926	5.86739443562143	8.35797142726811	TRUE	TRUE	TRUE
CXCL10	8.74600516914254	7.11017078353983	8.46935019474027	TRUE	TRUE	TRUE
ZNF300P1	8.59626964905858	3.30362823748825	5.11237311735959	TRUE	TRUE	TRUE
GRIN3A	8.52567851321095	6.64697678481269	8.06305062373562	TRUE	TRUE	TRUE
KCNN1	8.51083512621973	3.42039027514663	8.04712548803666	TRUE	FALSE	TRUE
NRIR	8.50875556139347	2.19102051213201	3.60240222178733	TRUE	TRUE	TRUE
CSF3	8.45830394659206	3.8649993959955	7.00279188305405	TRUE	TRUE	TRUE
FYB2	8.24146370075135	5.5863576224726	7.77427729542616	TRUE	TRUE	TRUE
LINC02032	8.13445209096168	4.79027305776786	7.6733025706128	TRUE	TRUE	TRUE
FAP	8.10086445285198	3.77723189647712	6.95536940744933	TRUE	TRUE	TRUE
CXCL11	8.09369805376261	6.17652767887963	7.68631768893465	TRUE	TRUE	TRUE
FAT2	8.06878744310232	1.40640683953641	6.1574566774711	TRUE	FALSE	TRUE
IGF2-AS	8.01258546533549	5.17433368234348	8.99265139608175	TRUE	TRUE	TRUE
NAALADL1	7.95240221184257	4.42812693327071	7.48699520580832	TRUE	FALSE	TRUE
AL138787.2	7.91784345582575	1.4304632937622	7.48137548666233	TRUE	FALSE	FALSE
NKAIN1	7.91553895107855	3.17251395009857	4.99003223574393	TRUE	FALSE	TRUE
ZEB2	7.90901124994533	4.97083944700164	6.85766780506496	TRUE	TRUE	TRUE
CCL3	7.82568986749712	2.85222636237518	7.35782968138411	TRUE	FALSE	TRUE
C6orf222	7.81209795570842	2.3606116530657	4.87784993628757	TRUE	FALSE	TRUE
HEATR9	7.59673344152179	2.88531803907403	7.13226342924839	TRUE	FALSE	TRUE
AC119150.1	7.54945119165516	2.85047337971867	7.08839943149711	TRUE	FALSE	TRUE
TTC9B	7.52010652588851	1.62848678853674	4.48001031203937	TRUE	FALSE	TRUE
OR10AB1P	7.49052772852852	3.8884808850899	8.4628122731248	TRUE	FALSE	TRUE
CXCL9	7.44784615316221	3.66978478874024	3.83465022729621	TRUE	TRUE	TRUE
CPXM1	7.44072020133612	6.66287402809975	9.41499561517764	TRUE	TRUE	TRUE
RFPL1	7.43361494692365	4.42504971913917	6.97505168050188	TRUE	FALSE	TRUE
LST1	7.35554131216961	3.02435223608776	6.89626502348459	TRUE	FALSE	TRUE
PROX1	7.34357895067003	4.61098871001529	5.43086704089798	TRUE	FALSE	TRUE
IGF2	7.33352689825336	4.67286752006255	6.87212667445339	TRUE	TRUE	TRUE
GRIP2	7.32893874044847	3.95869718672261	6.86036973438924	TRUE	FALSE	TRUE
COL4A1	7.29997713217068	2.07654096523828	3.51714654032343	TRUE	TRUE	TRUE
IL10RA	7.29607274350066	6.65787265933069	7.82815708288067	TRUE	TRUE	TRUE
AC140912.1	7.2275178580113	4.83852283149147	5.3284030762597	TRUE	FALSE	TRUE
HAND1	7.188790034744	6.37708498702144	6.72340195925949	TRUE	FALSE	TRUE
IGF2	7.13063570504892	4.35826031027959	6.67312534433723	TRUE	TRUE	TRUE
TEX14	7.12365793195621	3.72151016530839	5.20905868662023	TRUE	FALSE	TRUE
AF127936.1	7.12365793195621	4.8192344200175	6.66008521536457	TRUE	FALSE	TRUE
IFIT2	7.10046821434555	5.9840636807193	7.24526051591238	TRUE	TRUE	TRUE
