baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
ENSG00000183709.7	1499.69369426372	14.8869198315338	1.45611577493783	10.2237199045312	1.55265691242368e-24	4.21331422664805e-23	IFNL2
ENSG00000197110.8	1381.1653341172	14.768189606566	1.46091599516725	10.1088561254854	5.04700859686542e-24	1.3352240885247e-22	IFNL3
ENSG00000171855.7	4293.29395879446	13.9662394883793	1.02369700931929	13.6429425515918	2.22402182157266e-42	1.03616310165062e-40	IFNB1
ENSG00000182393.3	2807.41329806416	12.0317235562342	0.650285011463096	18.5022310896628	1.98100964862875e-76	1.57926089188684e-74	IFNL1
ENSG00000243978.8	236.838064871323	10.7780007497125	1.41945505802022	7.59305529880252	3.12449121900446e-14	4.88188144558214e-13	RTL9
ENSG00000272395.7	86.9647983241306	10.7770090887176	1.46362074045366	7.36325250855435	1.79482400589371e-13	2.65625067604913e-12	IFNL4
ENSG00000077522.13	81.7188570100985	10.6835067827994	1.46547800926985	7.29011743282474	3.09684971609621e-13	4.51244462693888e-12	ACTN2
ENSG00000168685.15	74.0615745944405	10.5380052899286	1.46874554979004	7.17483385153749	7.23950517763172e-13	1.02087267587406e-11	IL7R
ENSG00000154451.14	199.366277868531	10.5307467060014	1.42001694978738	7.41593028701399	1.2077401855333e-13	1.80828344807269e-12	GBP5
ENSG00000271503.6	2238.35318749379	10.1184045222496	0.382635667405472	26.4439658510124	4.28103604489083e-154	6.24300353961031e-152	CCL5
ENSG00000175121.11	53.9869350261111	10.085583925384	1.47631462861489	6.83159519651071	8.39755357426037e-12	1.0994665581132e-10	WFDC5
ENSG00000091879.13	50.3088152227226	9.97981531769343	1.47979124695639	6.74406970457471	1.54010593674882e-11	1.97874995595963e-10	ANGPT2
ENSG00000138135.6	400.214112845499	9.95292160273182	0.846682939267523	11.7551932856262	6.6408614174169e-32	2.26458424418644e-30	CH25H
ENSG00000153253.17	538.139479432591	9.37866550697373	0.601171954199001	15.6006371246473	7.20712580044551e-55	4.39708215927181e-53	SCN3A
ENSG00000133107.14	31.3787380542566	9.29636947822641	1.50127641728373	6.19231033752358	5.92886709965219e-10	6.4218652878298e-09	TRPC4
ENSG00000164651.16	29.2088309258511	9.19719950269574	1.50378271938711	6.11604281930054	9.59275597017721e-10	1.0145357537563e-08	SP8
ENSG00000261402.1	28.99870068575	9.19713234780742	1.50312944037142	6.11865625194248	9.43677222291111e-10	9.98627630456381e-09	AL591222.1
ENSG00000164188.8	28.9673969526307	9.18195479073654	1.50538525388525	6.09940529644411	1.06463813414269e-09	1.12265809595047e-08	RANBP3L
ENSG00000105675.8	28.3653113348687	9.16085951179289	1.50449246770821	6.08900324090529	1.13615819707531e-09	1.19246750034757e-08	ATP4A
ENSG00000173114.13	26.4055344465642	9.05197472647698	1.50987388185029	5.99518597896675	2.03252695228204e-09	2.06090649763046e-08	LRRN3
ENSG00000136297.14	26.0135790689033	9.02920151621242	1.51117805424804	5.97494219217295	2.30171786829011e-09	2.32073712217649e-08	MMD2
ENSG00000214042.1	22.5172844030746	8.82575030933904	1.52023967903744	5.80549924530794	6.41744938519318e-09	6.1621943052575e-08	IFNA7
ENSG00000280270.1	22.5768932387352	8.81951256943926	1.52322018362241	5.79004444942777	7.03677998074095e-09	6.7280768930997e-08	AC068299.1
ENSG00000169245.6	4436.45275452819	8.74600516914254	0.174442474346195	50.1369015884594	0	0	CXCL10
ENSG00000197083.11	18.9613809015853	8.59626964905858	1.53704019581418	5.59274225389083	2.23510972516193e-08	2.00014062238774e-07	ZNF300P1
ENSG00000198785.5	18.4472092220252	8.52567851321095	1.54113903073231	5.5320631968939	3.16485827725996e-08	2.77187807222714e-07	GRIN3A
