Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	PANTHER version 15.0 Released 2020-02-14
Analyzed List:	fullDEGenesFC1Clean (Homo sapiens )
Reference List:	RefRNAseqClean (Homo sapiens )
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1
PANTHER GO-Slim Biological Process	RefRNAseqClean - REFLIST (14012)	fullDEGenesFC1Clean (2301)	fullDEGenesFC1Clean (expected)	fullDEGenesFC1Clean (over/under)	fullDEGenesFC1Clean (fold Enrichment)	fullDEGenesFC1Clean (P-value)
type I interferon signaling pathway (GO:0060337)	5	5	.82	+	6.09	7.55E-03
response to type I interferon (GO:0034340)	5	5	.82	+	6.09	7.55E-03
pyrimidine nucleobase catabolic process (GO:0006208)	4	4	.66	+	6.09	1.72E-02
defense response to virus (GO:0051607)	26	24	4.27	+	5.62	1.01E-08
response to virus (GO:0009615)	26	24	4.27	+	5.62	1.01E-08
T cell mediated immunity (GO:0002456)	9	8	1.48	+	5.41	1.14E-03
response to cadmium ion (GO:0046686)	9	8	1.48	+	5.41	1.14E-03
chemokine-mediated signaling pathway (GO:0070098)	17	14	2.79	+	5.01	2.95E-05
B cell differentiation (GO:0030183)	5	4	.82	+	4.87	2.76E-02
circadian regulation of gene expression (GO:0032922)	5	4	.82	+	4.87	2.76E-02
granulocyte chemotaxis (GO:0071621)	19	15	3.12	+	4.81	2.17E-05
cellular response to chemokine (GO:1990869)	18	14	2.96	+	4.74	4.57E-05
response to chemokine (GO:1990868)	18	14	2.96	+	4.74	4.57E-05
immune effector process (GO:0002252)	54	42	8.87	+	4.74	1.60E-12
defense response to other organism (GO:0098542)	74	56	12.15	+	4.61	7.35E-16
lymphocyte mediated immunity (GO:0002449)	12	9	1.97	+	4.57	1.28E-03
innate immune response (GO:0045087)	49	36	8.05	+	4.47	1.91E-10
response to biotic stimulus (GO:0009607)	103	75	16.91	+	4.43	4.37E-20
lymphocyte migration (GO:0072676)	11	8	1.81	+	4.43	2.74E-03
response to external biotic stimulus (GO:0043207)	102	74	16.75	+	4.42	9.01E-20
response to other organism (GO:0051707)	102	74	16.75	+	4.42	9.01E-20
