Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	PANTHER version 15.0 Released 2020-02-14
Analyzed List:	fullTargetsDEFC1 (Homo sapiens )
Reference List:	fullDEGenesFC1Clean (Homo sapiens )
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1
PANTHER GO-Slim Biological Process	fullDEGenesFC1Clean - REFLIST (2301)	fullTargetsDEFC1 (109)	fullTargetsDEFC1 (expected)	fullTargetsDEFC1 (over/under)	fullTargetsDEFC1 (fold Enrichment)	fullTargetsDEFC1 (P-value)
regulation of dendrite morphogenesis (GO:0048814)	2	2	.09	+	21.11	1.15E-02
dendrite morphogenesis (GO:0048813)	2	2	.09	+	21.11	1.15E-02
regulation of dendrite development (GO:0050773)	2	2	.09	+	21.11	1.15E-02
dendrite development (GO:0016358)	4	2	.19	+	10.56	2.70E-02
regulation of neuron projection development (GO:0010975)	13	5	.62	+	8.12	9.23E-04
integrin-mediated signaling pathway (GO:0007229)	6	2	.28	+	7.04	4.75E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	12	4	.57	+	7.04	4.73E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	6	2	.28	+	7.04	4.75E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	15	5	.71	+	7.04	1.55E-03
regulation of cell projection organization (GO:0031344)	15	5	.71	+	7.04	1.55E-03
developmental growth (GO:0048589)	10	3	.47	+	6.33	1.85E-02
regulation of neuron differentiation (GO:0045664)	17	5	.81	+	6.21	2.45E-03
growth (GO:0040007)	11	3	.52	+	5.76	2.28E-02
regulation of nervous system development (GO:0051960)	20	5	.95	+	5.28	4.44E-03
regulation of cell development (GO:0060284)	20	5	.95	+	5.28	4.44E-03
regulation of neurogenesis (GO:0050767)	20	5	.95	+	5.28	4.44E-03
regulation of protein catabolic process (GO:0042176)	12	3	.57	+	5.28	2.75E-02
regulation of cell morphogenesis (GO:0022604)	16	4	.76	+	5.28	1.09E-02
regulation of anatomical structure morphogenesis (GO:0022603)	21	5	.99	+	5.03	5.30E-03
regulation of catabolic process (GO:0009894)	20	4	.95	+	4.22	2.09E-02
neuron projection development (GO:0031175)	31	6	1.47	+	4.09	5.51E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	21	4	.99	+	4.02	2.40E-02
neuron development (GO:0048666)	33	6	1.56	+	3.84	7.18E-03
regulation of multicellular organismal development (GO:2000026)	33	6	1.56	+	3.84	7.18E-03
neuron differentiation (GO:0030182)	40	7	1.89	+	3.69	4.48E-03
