miRNA Name;Gene Symbol;Gene Description;
95;submission;ELAVL2;ELAV like RNA binding protein 2
95;submission;ESR1;estrogen receptor 1
93;submission;JARID2;jumonji and AT-rich interaction domain containing 2
92;submission;ENOSF1;enolase superfamily member 1
92;submission;RPS6KA3;ribosomal protein S6 kinase A3
91;submission;PLIN1;perilipin 1
91;submission;RERE;arginine-glutamic acid dipeptide repeats
90;submission;BEST3;bestrophin 3
90;submission;PAK3;p21 (RAC1) activated kinase 3
89;submission;ARID2;AT-rich interaction domain 2
89;submission;OSBPL10;oxysterol binding protein like 10
88;submission;LYRM4;LYR motif containing 4
88;submission;HEPACAM;hepatic and glial cell adhesion molecule
87;submission;PROSER1;proline and serine rich 1
87;submission;PATZ1;POZ/BTB and AT hook containing zinc finger 1
86;submission;BAALC;BAALC, MAP3K1 and KLF4 binding
86;submission;BTC;betacellulin
86;submission;GPR158;G protein-coupled receptor 158
86;submission;MAPK8;mitogen-activated protein kinase 8
85;submission;CMKLR1;chemerin chemokine-like receptor 1
84;submission;DAPL1;death associated protein like 1
83;submission;VGLL4;vestigial like family member 4
83;submission;ZNF74;zinc finger protein 74
83;submission;FOS;Fos proto-oncogene, AP-1 transcription factor subunit
83;submission;SHE;Src homology 2 domain containing E
83;submission;CNOT8;CCR4-NOT transcription complex subunit 8
83;submission;TENT5A;terminal nucleotidyltransferase 5A
83;submission;ARL11;ADP ribosylation factor like GTPase 11
82;submission;HNRNPC;heterogeneous nuclear ribonucleoprotein C (C1/C2)
82;submission;EID3;EP300 interacting inhibitor of differentiation 3
82;submission;FRMD4B;FERM domain containing 4B
82;submission;FBXO47;F-box protein 47
82;submission;CPA6;carboxypeptidase A6
82;submission;MAGEA4;MAGE family member A4
81;submission;LMO2;LIM domain only 2
81;submission;MYH10;myosin heavy chain 10
81;submission;GABRA3;gamma-aminobutyric acid type A receptor alpha3 subunit
80;submission;INSYN2;inhibitory synaptic factor 2A
80;submission;RHCE;Rh blood group CcEe antigens
80;submission;ARPC5;actin related protein 2/3 complex subunit 5
79;submission;GOLGA7;golgin A7
79;submission;PITPNA;phosphatidylinositol transfer protein alpha
78;submission;C2orf49;chromosome 2 open reading frame 49
77;submission;C5orf22;chromosome 5 open reading frame 22
77;submission;GPX6;glutathione peroxidase 6
77;submission;SOX30;SRY-box 30
77;submission;UBE2D3;ubiquitin conjugating enzyme E2 D3
77;submission;MRPS35;mitochondrial ribosomal protein S35
77;submission;LY75;lymphocyte antigen 75
76;submission;DLD;dihydrolipoamide dehydrogenase
75;submission;FAM204A;family with sequence similarity 204 member A
75;submission;TPM1;tropomyosin 1
75;submission;RPS6KA1;ribosomal protein S6 kinase A1
75;submission;ZNF441;zinc finger protein 441
75;submission;ETF1;eukaryotic translation termination factor 1
75;submission;PHF14;PHD finger protein 14
75;submission;ADRA1A;adrenoceptor alpha 1A
75;submission;ZNF470;zinc finger protein 470
75;submission;CRYBG1;crystallin beta-gamma domain containing 1
75;submission;KPNA1;karyopherin subunit alpha 1
75;submission;METTL15;methyltransferase like 15
75;submission;MTRNR2L5;MT-RNR2 like 5
75;submission;RAB27B;RAB27B, member RAS oncogene family
74;submission;APC;APC, WNT signaling pathway regulator
74;submission;MLH3;mutL homolog 3
74;submission;RHD;Rh blood group D antigen
73;submission;MIS18BP1;MIS18 binding protein 1
73;submission;TPRA1;transmembrane protein adipocyte associated 1
73;submission;C10orf99;chromosome 10 open reading frame 99
72;submission;RPL23A;ribosomal protein L23a
72;submission;SEL1L;SEL1L, ERAD E3 ligase adaptor subunit
72;submission;SETDB2;SET domain bifurcated histone lysine methyltransferase 2
72;submission;IKZF5;IKAROS family zinc finger 5
72;submission;GLI2;GLI family zinc finger 2
71;submission;ANKRD20A1;ankyrin repeat domain 20 family member A1
71;submission;ANKRD20A2;ankyrin repeat domain 20 family member A2
71;submission;ANKRD20A4;ankyrin repeat domain 20 family member A4
71;submission;SMG1;SMG1, nonsense mediated mRNA decay associated PI3K related kinase
71;submission;PTPRK;protein tyrosine phosphatase, receptor type K
71;submission;PNISR;PNN interacting serine and arginine rich protein
71;submission;EFHC1;EF-hand domain containing 1
71;submission;ZWILCH;zwilch kinetochore protein
71;submission;CEP78;centrosomal protein 78
71;submission;MRPL43;mitochondrial ribosomal protein L43
71;submission;TRIM13;tripartite motif containing 13
71;submission;PAPLN;papilin, proteoglycan like sulfated glycoprotein
71;submission;C1orf21;chromosome 1 open reading frame 21
70;submission;CD8A;CD8a molecule
70;submission;OXGR1;oxoglutarate receptor 1
70;submission;FKBP5;FKBP prolyl isomerase 5
70;submission;ANKRD20A3;ankyrin repeat domain 20 family member A3
70;submission;PLXNA4;plexin A4
70;submission;NUP210L;nucleoporin 210 like
69;submission;C16orf58;chromosome 16 open reading frame 58
69;submission;PRMT2;protein arginine methyltransferase 2
69;submission;NCS1;neuronal calcium sensor 1
69;submission;TFCP2L1;transcription factor CP2 like 1
69;submission;TUFM;Tu translation elongation factor, mitochondrial
68;submission;APOBEC4;apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
68;submission;EHF;ETS homologous factor
68;submission;MID2;midline 2
68;submission;SMURF1;SMAD specific E3 ubiquitin protein ligase 1
68;submission;MAGEA12;MAGE family member A12
68;submission;SLC8A1;solute carrier family 8 member A1
68;submission;CYP2C8;cytochrome P450 family 2 subfamily C member 8
67;submission;LRRC8C;leucine rich repeat containing 8 VRAC subunit C
67;submission;SOGA1;suppressor of glucose, autophagy associated 1
67;submission;HPCAL4;hippocalcin like 4
67;submission;MAGEA1;MAGE family member A1
67;submission;CRIPT;CXXC repeat containing interactor of PDZ3 domain
67;submission;FAM177B;family with sequence similarity 177 member B
67;submission;ZMAT4;zinc finger matrin-type 4
67;submission;MAGEA2;MAGE family member A2
67;submission;MAGEA2B;MAGE family member A2B
66;submission;RBAK;RB associated KRAB zinc finger
66;submission;MGST1;microsomal glutathione S-transferase 1
66;submission;SLC35E1;solute carrier family 35 member E1
66;submission;MRTFB;myocardin related transcription factor B
66;submission;ETV3;ETS variant 3
66;submission;SRGAP2;SLIT-ROBO Rho GTPase activating protein 2
66;submission;SNX14;sorting nexin 14
66;submission;CCDC122;coiled-coil domain containing 122
65;submission;SV2C;synaptic vesicle glycoprotein 2C
65;submission;PELO;pelota mRNA surveillance and ribosome rescue factor
65;submission;TGFA;transforming growth factor alpha
65;submission;TNFSF12-TNFSF13;TNFSF12-TNFSF13 readthrough
65;submission;TNFSF13;TNF superfamily member 13
65;submission;HNRNPA0;heterogeneous nuclear ribonucleoprotein A0
65;submission;ABLIM1;actin binding LIM protein 1
65;submission;TCF21;transcription factor 21
64;submission;NAA60;N(alpha)-acetyltransferase 60, NatF catalytic subunit
64;submission;NOS1;nitric oxide synthase 1
64;submission;TSHZ3;teashirt zinc finger homeobox 3
64;submission;HTT;huntingtin
63;submission;GRID2;glutamate ionotropic receptor delta type subunit 2
63;submission;G6PC2;glucose-6-phosphatase catalytic subunit 2
63;submission;SLC12A3;solute carrier family 12 member 3
63;submission;SLC25A17;solute carrier family 25 member 17
63;submission;VTI1A;vesicle transport through interaction with t-SNAREs 1A
63;submission;TPK1;thiamin pyrophosphokinase 1
63;submission;PAX5;paired box 5
62;submission;KRTAP26-1;keratin associated protein 26-1
62;submission;IL1RL1;interleukin 1 receptor like 1
62;submission;NDST1;N-deacetylase and N-sulfotransferase 1
62;submission;BMPR1B;bone morphogenetic protein receptor type 1B
62;submission;SH3BGRL2;SH3 domain binding glutamate rich protein like 2
62;submission;G0S2;G0/G1 switch 2
62;submission;SERP1;stress associated endoplasmic reticulum protein 1
62;submission;CALB1;calbindin 1
62;submission;SAXO2;stabilizer of axonemal microtubules 2
61;submission;MLEC;malectin
61;submission;PILRB;paired immunoglobin-like type 2 receptor beta
61;submission;XK;X-linked Kx blood group
61;submission;ST8SIA4;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
61;submission;GON4L;gon-4 like
61;submission;LDHAL6B;lactate dehydrogenase A like 6B
61;submission;CREBZF;CREB/ATF bZIP transcription factor
61;submission;ANKRD27;ankyrin repeat domain 27
60;submission;CNTNAP2;contactin associated protein like 2
60;submission;PSMA8;proteasome subunit alpha 8
60;submission;PCYOX1;prenylcysteine oxidase 1
60;submission;ARHGAP11A;Rho GTPase activating protein 11A
59;submission;GDAP1L1;ganglioside induced differentiation associated protein 1 like 1
59;submission;FAM57A;family with sequence similarity 57 member A
59;submission;JPT2;Jupiter microtubule associated homolog 2
59;submission;FAM91A1;family with sequence similarity 91 member A1
59;submission;DGKE;diacylglycerol kinase epsilon
58;submission;TFEC;transcription factor EC
58;submission;MINAR1;membrane integral NOTCH2 associated receptor 1
58;submission;NLRP9;NLR family pyrin domain containing 9
58;submission;UBE4B;ubiquitination factor E4B
58;submission;EDEM1;ER degradation enhancing alpha-mannosidase like protein 1
58;submission;ZNF444;zinc finger protein 444
58;submission;MRPS23;mitochondrial ribosomal protein S23
57;submission;CXorf40A;chromosome X open reading frame 40A
57;submission;APLNR;apelin receptor
57;submission;THEG;theg spermatid protein
57;submission;PXMP4;peroxisomal membrane protein 4
57;submission;CSMD3;CUB and Sushi multiple domains 3
56;submission;ZNF90;zinc finger protein 90
56;submission;SPRY4;sprouty RTK signaling antagonist 4
56;submission;ERBB4;erb-b2 receptor tyrosine kinase 4
56;submission;NDRG1;N-myc downstream regulated 1
56;submission;PTCD3;pentatricopeptide repeat domain 3
56;submission;LSM12;LSM12 homolog
56;submission;ADCY1;adenylate cyclase 1
56;submission;ELL2;elongation factor for RNA polymerase II 2
56;submission;PPIP5K1;diphosphoinositol pentakisphosphate kinase 1
56;submission;TMCO1;transmembrane and coiled-coil domains 1
55;submission;MXD1;MAX dimerization protein 1
55;submission;ZC3HAV1;zinc finger CCCH-type containing, antiviral 1
55;submission;SLC7A2;solute carrier family 7 member 2
55;submission;LARP4B;La ribonucleoprotein domain family member 4B
55;submission;CXXC4;CXXC finger protein 4
