miRNA Name;Gene Symbol;Gene Description;
88;submission;PINK1;PTEN induced kinase 1
86;submission;CCDC152;coiled-coil domain containing 152
83;submission;VAPA;VAMP associated protein A
82;submission;CACNA1C;calcium voltage-gated channel subunit alpha1 C
82;submission;ARHGEF10;Rho guanine nucleotide exchange factor 10
80;submission;SPATA31D4;SPATA31 subfamily D member 4
80;submission;BTNL8;butyrophilin like 8
78;submission;ANKRD13B;ankyrin repeat domain 13B
76;submission;PLXNB2;plexin B2
75;submission;C20orf85;chromosome 20 open reading frame 85
73;submission;AP1S2;adaptor related protein complex 1 subunit sigma 2
73;submission;PRKG1;protein kinase cGMP-dependent 1
71;submission;LANCL3;LanC like 3
70;submission;PRMT2;protein arginine methyltransferase 2
69;submission;TRIM35;tripartite motif containing 35
69;submission;THRB;thyroid hormone receptor beta
69;submission;PABPC1L2B;poly(A) binding protein cytoplasmic 1 like 2B
66;submission;LRR1;leucine rich repeat protein 1
65;submission;DHCR24;24-dehydrocholesterol reductase
65;submission;ANTXR2;ANTXR cell adhesion molecule 2
63;submission;TRPM6;transient receptor potential cation channel subfamily M member 6
63;submission;ZCCHC2;zinc finger CCHC-type containing 2
61;submission;PABPC1L2A;poly(A) binding protein cytoplasmic 1 like 2A
61;submission;DCTN1;dynactin subunit 1
59;submission;GIT2;GIT ArfGAP 2
59;submission;ADAMTS8;ADAM metallopeptidase with thrombospondin type 1 motif 8
59;submission;FAM228A;family with sequence similarity 228 member A
59;submission;CDR2L;cerebellar degeneration related protein 2 like
59;submission;PSMB11;proteasome subunit beta 11
59;submission;TVP23C-CDRT4;TVP23C-CDRT4 readthrough
58;submission;KRTAP10-9;keratin associated protein 10-9
58;submission;ZNF282;zinc finger protein 282
56;submission;PLXDC2;plexin domain containing 2
56;submission;SSBP3;single stranded DNA binding protein 3
56;submission;USP47;ubiquitin specific peptidase 47
55;submission;PLEKHM1;pleckstrin homology and RUN domain containing M1
54;submission;POMT1;protein O-mannosyltransferase 1
53;submission;TNRC6C;trinucleotide repeat containing 6C
52;submission;ZNF99;zinc finger protein 99
51;submission;CUL2;cullin 2
50;submission;TMEM30A;transmembrane protein 30A
50;submission;ZZZ3;zinc finger ZZ-type containing 3
50;submission;ADAMTSL2;ADAMTS like 2
