sequence_names, nt_proportion0, nt_proportion1, nt_proportion2, nt_proportion3, dinucleotide_proportion0, dinucleotide_proportion1, dinucleotide_proportion2, dinucleotide_proportion3, dinucleotide_proportion4, dinucleotide_proportion5, dinucleotide_proportion6, dinucleotide_proportion7, dinucleotide_proportion8, dinucleotide_proportion9, dinucleotide_proportion10, dinucleotide_proportion11, dinucleotide_proportion12, dinucleotide_proportion13, dinucleotide_proportion14, dinucleotide_proportion15, gc_content, gc_ratio, sequence_length, bp_number, dP, bp_proportion0, bp_proportion1, bp_proportion2, bp_proportion_stem0, bp_proportion_stem1, bp_proportion_stem2, triplets0, triplets1, triplets2, triplets3, triplets4, triplets5, triplets6, triplets7, triplets8, triplets9, triplets10, triplets11, triplets12, triplets13, triplets14, triplets15, triplets16, triplets17, triplets18, triplets19, triplets20, triplets21, triplets22, triplets23, triplets24, triplets25, triplets26, triplets27, triplets28, triplets29, triplets30, triplets31, mfe, efe, ensemble_frequency, diversity, mfe_efe_difference, dQ, dG, mfei1, mfei2, mfei4
ebv-mir-BHRF1-2 MI0001065, 0.292308, 0.169231, 0.200000, 0.338462, 0.109375, 0.015625, 0.078125, 0.093750, 0.062500, 0.031250, 0.015625, 0.062500, 0.062500, 0.078125, 0.015625, 0.031250, 0.062500, 0.031250, 0.093750, 0.156250, 0.369231, 1.181818, 65.000000, 25.000000, 0.384615, 0.520000, 0.280000, 0.200000, 0.173333, 0.093333, 0.066667, 0.200000, 0.100000, 0.180000, 0.280000, 0.040000, 0.000000, 0.020000, 0.020000, 0.040000, 0.020000, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020000, 0.000000, 0.000000, 0.060000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -26.800000, -27.280000, 0.457857, 1.670000, 0.007385, 0.066635, -0.412308, -1.116667, -0.137436, -1.072000
ebv-mir-BHRF1-3 MI0001066, 0.276923, 0.215385, 0.230769, 0.276923, 0.125000, 0.078125, 0.046875, 0.031250, 0.078125, 0.000000, 0.078125, 0.062500, 0.015625, 0.078125, 0.046875, 0.093750, 0.062500, 0.062500, 0.062500, 0.078125, 0.446154, 1.071429, 65.000000, 22.000000, 0.338462, 0.363636, 0.454545, 0.181818, 0.121212, 0.151515, 0.060606, 0.096154, 0.153846, 0.211538, 0.153846, 0.019231, 0.019231, 0.038462, 0.019231, 0.019231, 0.019231, 0.000000, 0.019231, 0.038462, 0.000000, 0.000000, 0.000000, 0.038462, 0.019231, 0.000000, 0.038462, 0.000000, 0.000000, 0.000000, 0.000000, 0.019231, 0.019231, 0.000000, 0.000000, 0.038462, 0.019231, 0.000000, 0.000000, -22.800000, -23.950000, 0.154283, 5.770000, 0.017692, 0.228730, -0.350769, -0.786207, -0.116923, -1.036364
ebv-mir-BHRF1-1 MI0001064, 0.242424, 0.287879, 0.227273, 0.242424, 0.061538, 0.061538, 0.061538, 0.046154, 0.061538, 0.138462, 0.030769, 0.061538, 0.076923, 0.046154, 0.061538, 0.046154, 0.046154, 0.046154, 0.076923, 0.076923, 0.515152, 0.789474, 66.000000, 22.000000, 0.333333, 0.409091, 0.500000, 0.090909, 0.102273, 0.125000, 0.022727, 0.089286, 0.107143, 0.125000, 0.107143, 0.053571, 0.017857, 0.071429, 0.017857, 0.017857, 0.071429, 0.000000, 0.000000, 0.017857, 0.035714, 0.017857, 0.000000, 0.017857, 0.053571, 0.017857, 0.071429, 0.000000, 0.000000, 0.000000, 0.000000, 0.035714, 0.017857, 0.017857, 0.000000, 0.017857, 0.000000, 0.000000, 0.000000, -26.500000, -27.020000, 0.426696, 2.620000, 0.007879, 0.107199, -0.401515, -0.779412, -0.100379, -1.204545
ebv-mir-BART1 MI0001067, 0.200000, 0.257143, 0.300000, 0.242857, 0.028986, 0.057971, 0.057971, 0.057971, 0.057971, 0.072464, 0.057971, 0.072464, 0.043478, 0.057971, 0.086957, 0.101449, 0.072464, 0.072464, 0.086957, 0.014493, 0.557143, 1.166667, 70.000000, 25.000000, 0.357143, 0.360000, 0.520000, 0.120000, 0.120000, 0.173333, 0.040000, 0.112903, 0.145161, 0.145161, 0.112903, 0.016129, 0.016129, 0.048387, 0.032258, 0.032258, 0.016129, 0.032258, 0.000000, 0.016129, 0.000000, 0.000000, 0.032258, 0.016129, 0.032258, 0.016129, 0.032258, 0.000000, 0.016129, 0.016129, 0.000000, 0.000000, 0.016129, 0.000000, 0.032258, 0.000000, 0.032258, 0.016129, 0.016129, -30.700000, -32.110000, 0.101080, 6.030000, 0.020143, 0.214866, -0.438571, -0.787179, -0.146190, -1.228000
ebv-mir-BART2 MI0001068, 0.258065, 0.193548, 0.225806, 0.322581, 0.098361, 0.016393, 0.049180, 0.081967, 0.049180, 0.049180, 0.049180, 0.049180, 0.065574, 0.081967, 0.032787, 0.049180, 0.032787, 0.049180, 0.098361, 0.147541, 0.419355, 1.166667, 62.000000, 21.000000, 0.338710, 0.523810, 0.428571, 0.047619, 0.174603, 0.142857, 0.015873, 0.145833, 0.166667, 0.125000, 0.145833, 0.062500, 0.000000, 0.041667, 0.020833, 0.020833, 0.000000, 0.041667, 0.020833, 0.020833, 0.000000, 0.000000, 0.020833, 0.020833, 0.020833, 0.020833, 0.062500, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020833, 0.000000, 0.020833, 0.000000, 0.000000, 0.000000, 0.000000, -26.000000, -26.280000, 0.639769, 0.940000, 0.004516, 0.040681, -0.419355, -1.000000, -0.139785, -1.238095
mdv2-mir-M14 MI0005882, 0.215385, 0.230769, 0.292308, 0.261538, 0.046875, 0.046875, 0.062500, 0.062500, 0.031250, 0.078125, 0.078125, 0.046875, 0.093750, 0.031250, 0.046875, 0.109375, 0.046875, 0.062500, 0.109375, 0.046875, 0.523077, 1.266667, 65.000000, 26.000000, 0.400000, 0.307692, 0.500000, 0.192308, 0.102564, 0.166667, 0.064103, 0.120690, 0.155172, 0.155172, 0.120690, 0.000000, 0.017241, 0.068966, 0.051724, 0.034483, 0.000000, 0.017241, 0.051724, 0.034483, 0.000000, 0.000000, 0.000000, 0.017241, 0.034483, 0.051724, 0.034483, 0.000000, 0.000000, 0.000000, 0.000000, 0.017241, 0.017241, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -28.700000, -29.960000, 0.129096, 4.190000, 0.019385, 0.150663, -0.441538, -0.844118, -0.147179, -1.103846
dev-mir-D6 MI0023585, 0.136364, 0.318182, 0.287879, 0.257576, 0.000000, 0.076923, 0.046154, 0.015385, 0.076923, 0.061538, 0.123077, 0.061538, 0.061538, 0.046154, 0.061538, 0.107692, 0.000000, 0.123077, 0.061538, 0.076923, 0.606061, 0.904762, 66.000000, 24.000000, 0.363636, 0.250000, 0.625000, 0.125000, 0.062500, 0.156250, 0.031250, 0.096154, 0.153846, 0.211538, 0.153846, 0.019231, 0.057692, 0.038462, 0.000000, 0.038462, 0.019231, 0.000000, 0.019231, 0.019231, 0.000000, 0.000000, 0.019231, 0.000000, 0.038462, 0.057692, 0.019231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.038462, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -35.900000, -36.130000, 0.684816, 0.820000, 0.003485, 0.030867, -0.543939, -0.897500, -0.135985, -1.495833
iltv-mir-I4 MI0012484, 0.200000, 0.228571, 0.285714, 0.285714, 0.014493, 0.028986, 0.057971, 0.101449, 0.057971, 0.057971, 0.072464, 0.028986, 0.057971, 0.072464, 0.028986, 0.130435, 0.072464, 0.072464, 0.115942, 0.028986, 0.514286, 1.250000, 70.000000, 26.000000, 0.371429, 0.423077, 0.423077, 0.153846, 0.211538, 0.211538, 0.076923, 0.114754, 0.131148, 0.196721, 0.180328, 0.049180, 0.000000, 0.032787, 0.016393, 0.000000, 0.000000, 0.032787, 0.016393, 0.032787, 0.016393, 0.000000, 0.000000, 0.016393, 0.049180, 0.000000, 0.032787, 0.000000, 0.000000, 0.000000, 0.000000, 0.016393, 0.000000, 0.016393, 0.016393, 0.000000, 0.000000, 0.016393, 0.016393, -33.400000, -34.700000, 0.121166, 3.700000, 0.018571, 0.132550, -0.477143, -0.927778, -0.238571, -1.284615
ebv-mir-BART11 MI0003733, 0.162791, 0.244186, 0.325581, 0.267442, 0.011765, 0.058824, 0.094118, 0.000000, 0.094118, 0.035294, 0.023529, 0.082353, 0.023529, 0.129412, 0.070588, 0.105882, 0.035294, 0.023529, 0.129412, 0.082353, 0.569767, 1.333333, 86.000000, 35.000000, 0.406977, 0.257143, 0.542857, 0.200000, 0.064286, 0.135714, 0.050000, 0.113924, 0.113924, 0.189873, 0.164557, 0.000000, 0.025316, 0.075949, 0.025316, 0.037975, 0.025316, 0.012658, 0.025316, 0.000000, 0.000000, 0.000000, 0.025316, 0.000000, 0.075949, 0.037975, 0.012658, 0.000000, 0.000000, 0.000000, 0.000000, 0.012658, 0.000000, 0.000000, 0.012658, 0.000000, 0.000000, 0.012658, 0.000000, -42.700000, -43.450000, 0.295875, 6.050000, 0.008721, 0.169211, -0.496512, -0.871429, -0.124128, -1.220000
mdv2-mir-M29 MI0005897, 0.180328, 0.229508, 0.229508, 0.360656, 0.000000, 0.050000, 0.050000, 0.066667, 0.050000, 0.033333, 0.033333, 0.116667, 0.016667, 0.050000, 0.066667, 0.100000, 0.116667, 0.100000, 0.083333, 0.066667, 0.459016, 1.000000, 61.000000, 22.000000, 0.360656, 0.363636, 0.500000, 0.136364, 0.181818, 0.250000, 0.068182, 0.142857, 0.163265, 0.183673, 0.163265, 0.000000, 0.020408, 0.061224, 0.020408, 0.000000, 0.000000, 0.000000, 0.081633, 0.000000, 0.000000, 0.000000, 0.020408, 0.020408, 0.040816, 0.020408, 0.020408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020408, 0.000000, 0.020408, 0.000000, 0.000000, -32.500000, -33.560000, 0.179445, 3.570000, 0.017377, 0.156438, -0.532787, -1.160714, -0.266393, -1.477273
