sequence_names, nt_proportion0, nt_proportion1, nt_proportion2, nt_proportion3, dinucleotide_proportion0, dinucleotide_proportion1, dinucleotide_proportion2, dinucleotide_proportion3, dinucleotide_proportion4, dinucleotide_proportion5, dinucleotide_proportion6, dinucleotide_proportion7, dinucleotide_proportion8, dinucleotide_proportion9, dinucleotide_proportion10, dinucleotide_proportion11, dinucleotide_proportion12, dinucleotide_proportion13, dinucleotide_proportion14, dinucleotide_proportion15, gc_content, gc_ratio, sequence_length, bp_number, dP, bp_proportion0, bp_proportion1, bp_proportion2, bp_proportion_stem0, bp_proportion_stem1, bp_proportion_stem2, triplets0, triplets1, triplets2, triplets3, triplets4, triplets5, triplets6, triplets7, triplets8, triplets9, triplets10, triplets11, triplets12, triplets13, triplets14, triplets15, triplets16, triplets17, triplets18, triplets19, triplets20, triplets21, triplets22, triplets23, triplets24, triplets25, triplets26, triplets27, triplets28, triplets29, triplets30, triplets31, mfe, efe, ensemble_frequency, diversity, mfe_efe_difference, dQ, dG, mfei1, mfei2, mfei4
covid19_1-601_stem-76-139, 0.265625, 0.203125, 0.203125, 0.328125, 0.095238, 0.047619, 0.031746, 0.079365, 0.079365, 0.000000, 0.031746, 0.095238, 0.000000, 0.095238, 0.031746, 0.079365, 0.095238, 0.063492, 0.111111, 0.063492, 0.406250, 1.000000, 64.000000, 17.000000, 0.265625, 0.294118, 0.529412, 0.176471, 0.147059, 0.264706, 0.088235, 0.054545, 0.109091, 0.127273, 0.072727, 0.018182, 0.000000, 0.054545, 0.036364, 0.000000, 0.054545, 0.000000, 0.036364, 0.000000, 0.000000, 0.000000, 0.018182, 0.018182, 0.036364, 0.018182, 0.036364, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.018182, 0.181818, 0.000000, 0.000000, 0.109091, -20.800000, -21.610000, 0.268541, 3.830000, 0.012656, 0.195501, -0.325000, -0.800000, -0.162500, -1.223529
covid19_1-601_stem-289-358, 0.228571, 0.271429, 0.228571, 0.271429, 0.072464, 0.115942, 0.043478, 0.000000, 0.086957, 0.028986, 0.101449, 0.057971, 0.043478, 0.057971, 0.028986, 0.101449, 0.028986, 0.057971, 0.057971, 0.115942, 0.500000, 0.842105, 70.000000, 19.000000, 0.271429, 0.315789, 0.578947, 0.105263, 0.105263, 0.192982, 0.035088, 0.063492, 0.142857, 0.142857, 0.063492, 0.000000, 0.015873, 0.015873, 0.047619, 0.000000, 0.000000, 0.000000, 0.000000, 0.031746, 0.015873, 0.000000, 0.031746, 0.015873, 0.015873, 0.047619, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.015873, 0.000000, 0.015873, 0.079365, 0.079365, 0.047619, 0.063492, -17.900000, -18.490000, 0.383530, 7.530000, 0.008429, 0.343054, -0.255714, -0.511429, -0.085238, -0.942105
covid19_1-601_stem-479-570, 0.239130, 0.195652, 0.304348, 0.260870, 0.054945, 0.054945, 0.065934, 0.054945, 0.065934, 0.010989, 0.065934, 0.054945, 0.065934, 0.054945, 0.076923, 0.109890, 0.043956, 0.076923, 0.098901, 0.043956, 0.500000, 1.555556, 92.000000, 25.000000, 0.271739, 0.360000, 0.600000, 0.040000, 0.120000, 0.200000, 0.013333, 0.050633, 0.113924, 0.113924, 0.063291, 0.037975, 0.025316, 0.025316, 0.025316, 0.037975, 0.000000, 0.025316, 0.037975, 0.025316, 0.000000, 0.012658, 0.012658, 0.012658, 0.037975, 0.037975, 0.025316, 0.000000, 0.012658, 0.025316, 0.000000, 0.012658, 0.012658, 0.012658, 0.012658, 0.050633, 0.025316, 0.063291, 0.050633, -22.200000, -24.340000, 0.031167, 22.240000, 0.023261, 0.830829, -0.241304, -0.482609, -0.080435, -0.888000
covid19_101-701_stem-379-465, 0.241379, 0.206897, 0.287356, 0.264368, 0.058140, 0.058140, 0.069767, 0.058140, 0.069767, 0.011628, 0.069767, 0.058140, 0.058140, 0.058140, 0.069767, 0.104651, 0.046512, 0.081395, 0.081395, 0.046512, 0.494253, 1.388889, 87.000000, 25.000000, 0.287356, 0.360000, 0.600000, 0.040000, 0.120000, 0.200000, 0.013333, 0.054054, 0.121622, 0.121622, 0.067568, 0.040541, 0.027027, 0.027027, 0.027027, 0.040541, 0.000000, 0.027027, 0.040541, 0.027027, 0.000000, 0.013514, 0.013514, 0.013514, 0.040541, 0.040541, 0.027027, 0.000000, 0.013514, 0.027027, 0.000000, 0.013514, 0.013514, 0.013514, 0.013514, 0.054054, 0.027027, 0.027027, 0.027027, -22.200000, -24.010000, 0.053079, 11.930000, 0.020805, 0.436968, -0.255172, -0.516279, -0.085057, -0.888000
covid19_101-701_stem-461-535, 0.173333, 0.240000, 0.280000, 0.306667, 0.040541, 0.054054, 0.054054, 0.027027, 0.054054, 0.067568, 0.027027, 0.081081, 0.040541, 0.040541, 0.081081, 0.121622, 0.040541, 0.081081, 0.108108, 0.081081, 0.520000, 1.166667, 75.000000, 24.000000, 0.320000, 0.291667, 0.500000, 0.208333, 0.072917, 0.125000, 0.052083, 0.074627, 0.119403, 0.164179, 0.134328, 0.014925, 0.014925, 0.029851, 0.029851, 0.029851, 0.000000, 0.014925, 0.029851, 0.014925, 0.014925, 0.000000, 0.000000, 0.014925, 0.029851, 0.044776, 0.014925, 0.000000, 0.000000, 0.000000, 0.000000, 0.014925, 0.014925, 0.000000, 0.000000, 0.014925, 0.029851, 0.029851, 0.104478, -29.700000, -31.320000, 0.072369, 7.410000, 0.021600, 0.221101, -0.396000, -0.761538, -0.099000, -1.237500
covid19_201-801_stem-355-434, 0.175000, 0.237500, 0.287500, 0.300000, 0.037975, 0.063291, 0.050633, 0.025316, 0.050633, 0.063291, 0.050633, 0.075949, 0.037975, 0.037975, 0.088608, 0.126582, 0.037975, 0.075949, 0.101266, 0.075949, 0.525000, 1.210526, 80.000000, 28.000000, 0.350000, 0.285714, 0.500000, 0.214286, 0.071429, 0.125000, 0.053571, 0.069444, 0.111111, 0.152778, 0.125000, 0.013889, 0.027778, 0.041667, 0.027778, 0.055556, 0.000000, 0.041667, 0.055556, 0.000000, 0.013889, 0.000000, 0.013889, 0.013889, 0.027778, 0.055556, 0.027778, 0.013889, 0.013889, 0.013889, 0.013889, 0.000000, 0.027778, 0.000000, 0.000000, 0.000000, 0.013889, 0.000000, 0.027778, -29.800000, -31.820000, 0.037562, 8.760000, 0.025250, 0.277844, -0.372500, -0.709524, -0.093125, -1.064286
covid19_301-901_stem-46-116, 0.239437, 0.211268, 0.295775, 0.253521, 0.042857, 0.071429, 0.085714, 0.042857, 0.071429, 0.014286, 0.057143, 0.071429, 0.085714, 0.042857, 0.100000, 0.071429, 0.042857, 0.071429, 0.057143, 0.071429, 0.507042, 1.400000, 71.000000, 24.000000, 0.338028, 0.416667, 0.500000, 0.083333, 0.104167, 0.125000, 0.020833, 0.101449, 0.086957, 0.115942, 0.144928, 0.014493, 0.028986, 0.043478, 0.028986, 0.000000, 0.000000, 0.043478, 0.014493, 0.028986, 0.000000, 0.028986, 0.014493, 0.028986, 0.057971, 0.028986, 0.000000, 0.000000, 0.000000, 0.014493, 0.000000, 0.043478, 0.000000, 0.000000, 0.014493, 0.028986, 0.028986, 0.028986, 0.028986, -26.100000, -27.630000, 0.084063, 3.830000, 0.021549, 0.123464, -0.367606, -0.725000, -0.091901, -1.087500
covid19_301-901_stem-96-196, 0.287129, 0.198020, 0.227723, 0.287129, 0.120000, 0.050000, 0.060000, 0.050000, 0.060000, 0.030000, 0.040000, 0.070000, 0.060000, 0.060000, 0.040000, 0.070000, 0.040000, 0.060000, 0.090000, 0.100000, 0.425743, 1.150000, 101.000000, 31.000000, 0.306931, 0.419355, 0.483871, 0.096774, 0.104839, 0.120968, 0.024194, 0.097826, 0.108696, 0.086957, 0.097826, 0.021739, 0.032609, 0.032609, 0.043478, 0.000000, 0.010870, 0.000000, 0.043478, 0.032609, 0.010870, 0.010870, 0.021739, 0.021739, 0.010870, 0.065217, 0.032609, 0.000000, 0.000000, 0.000000, 0.000000, 0.054348, 0.010870, 0.010870, 0.000000, 0.065217, 0.021739, 0.021739, 0.032609, -27.600000, -29.930000, 0.022751, 9.940000, 0.023069, 0.254112, -0.273267, -0.641860, -0.068317, -0.890323
covid19_301-901_stem-323-466, 0.312500, 0.187500, 0.243056, 0.256944, 0.111888, 0.062937, 0.083916, 0.055944, 0.048951, 0.020979, 0.048951, 0.069930, 0.076923, 0.055944, 0.062937, 0.048951, 0.069930, 0.048951, 0.048951, 0.083916, 0.430556, 1.296296, 144.000000, 40.000000, 0.277778, 0.425000, 0.425000, 0.150000, 0.085000, 0.085000, 0.030000, 0.069767, 0.062016, 0.116279, 0.116279, 0.023256, 0.038760, 0.007752, 0.046512, 0.023256, 0.015504, 0.031008, 0.000000, 0.031008, 0.000000, 0.007752, 0.015504, 0.038760, 0.023256, 0.046512, 0.007752, 0.000000, 0.000000, 0.000000, 0.007752, 0.007752, 0.007752, 0.007752, 0.023256, 0.116279, 0.031008, 0.031008, 0.046512, -38.300000, -40.150000, 0.050067, 20.550000, 0.012847, 0.459117, -0.265972, -0.617742, -0.053194, -0.957500
covid19_601-1201_stem-150-233, 0.297619, 0.238095, 0.238095, 0.226190, 0.072289, 0.120482, 0.048193, 0.060241, 0.084337, 0.024096, 0.060241, 0.072289, 0.048193, 0.060241, 0.060241, 0.072289, 0.084337, 0.036145, 0.072289, 0.024096, 0.476190, 1.000000, 84.000000, 24.000000, 0.285714, 0.416667, 0.500000, 0.083333, 0.083333, 0.100000, 0.016667, 0.092105, 0.118421, 0.118421, 0.078947, 0.000000, 0.000000, 0.026316, 0.065789, 0.026316, 0.013158, 0.000000, 0.000000, 0.000000, 0.026316, 0.026316, 0.013158, 0.026316, 0.039474, 0.026316, 0.000000, 0.000000, 0.000000, 0.013158, 0.000000, 0.052632, 0.000000, 0.013158, 0.000000, 0.105263, 0.052632, 0.013158, 0.052632, -26.800000, -28.390000, 0.075199, 4.310000, 0.018929, 0.127768, -0.319048, -0.670000, -0.063810, -1.116667
covid19_801-1401_stem-54-119, 0.257576, 0.257576, 0.196970, 0.287879, 0.092308, 0.061538, 0.061538, 0.030769, 0.076923, 0.046154, 0.030769, 0.107692, 0.046154, 0.076923, 0.015385, 0.061538, 0.046154, 0.061538, 0.092308, 0.092308, 0.454545, 0.764706, 66.000000, 16.000000, 0.242424, 0.437500, 0.437500, 0.125000, 0.218750, 0.218750, 0.062500, 0.086207, 0.068966, 0.086207, 0.103448, 0.000000, 0.000000, 0.034483, 0.051724, 0.000000, 0.017241, 0.000000, 0.000000, 0.017241, 0.000000, 0.000000, 0.051724, 0.034483, 0.034483, 0.017241, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017241, 0.000000, 0.017241, 0.034483, 0.103448, 0.120690, 0.034483, 0.068966, -17.000000, -18.070000, 0.175972, 4.680000, 0.016212, 0.223828, -0.257576, -0.566667, -0.128788, -1.062500
covid19_801-1401_stem-405-489, 0.247059, 0.200000, 0.247059, 0.305882, 0.095238, 0.047619, 0.035714, 0.071429, 0.083333, 0.023810, 0.035714, 0.059524, 0.059524, 0.059524, 0.047619, 0.071429, 0.011905, 0.059524, 0.130952, 0.107143, 0.447059, 1.235294, 85.000000, 25.000000, 0.294118, 0.480000, 0.360000, 0.160000, 0.120000, 0.090000, 0.040000, 0.076923, 0.089744, 0.102564, 0.089744, 0.025641, 0.012821, 0.038462, 0.038462, 0.012821, 0.012821, 0.038462, 0.012821, 0.025641, 0.012821, 0.000000, 0.025641, 0.025641, 0.000000, 0.025641, 0.051282, 0.012821, 0.000000, 0.000000, 0.012821, 0.012821, 0.012821, 0.012821, 0.012821, 0.064103, 0.064103, 0.025641, 0.051282, -21.300000, -23.240000, 0.042650, 7.590000, 0.022824, 0.244471, -0.250588, -0.560526, -0.062647, -0.852000
covid19_1101-1701_stem-474-546, 0.356164, 0.164384, 0.232877, 0.246575, 0.180556, 0.055556, 0.083333, 0.027778, 0.055556, 0.041667, 0.013889, 0.055556, 0.097222, 0.000000, 0.055556, 0.083333, 0.027778, 0.069444, 0.069444, 0.083333, 0.397260, 1.416667, 73.000000, 18.000000, 0.246575, 0.500000, 0.444444, 0.055556, 0.500000, 0.444444, 0.055556, 0.093750, 0.062500, 0.046875, 0.078125, 0.015625, 0.031250, 0.015625, 0.062500, 0.000000, 0.000000, 0.031250, 0.031250, 0.031250, 0.015625, 0.000000, 0.015625, 0.031250, 0.015625, 0.046875, 0.015625, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.031250, 0.015625, 0.187500, 0.046875, 0.062500, 0.015625, -18.800000, -19.180000, 0.544188, 3.520000, 0.005205, 0.174810, -0.257534, -0.648276, -0.257534, -1.044444
covid19_1201-1801_stem-183-264, 0.317073, 0.207317, 0.219512, 0.256098, 0.111111, 0.049383, 0.074074, 0.086420, 0.074074, 0.049383, 0.024691, 0.061728, 0.074074, 0.037037, 0.049383, 0.049383, 0.061728, 0.074074, 0.061728, 0.061728, 0.426829, 1.058824, 82.000000, 21.000000, 0.256098, 0.428571, 0.428571, 0.142857, 0.142857, 0.142857, 0.047619, 0.062500, 0.037500, 0.075000, 0.100000, 0.025000, 0.050000, 0.012500, 0.025000, 0.012500, 0.012500, 0.000000, 0.000000, 0.037500, 0.025000, 0.000000, 0.025000, 0.025000, 0.025000, 0.050000, 0.025000, 0.000000, 0.000000, 0.000000, 0.000000, 0.062500, 0.025000, 0.012500, 0.000000, 0.100000, 0.037500, 0.050000, 0.087500, -11.500000, -13.480000, 0.040234, 13.720000, 0.024146, 0.520054, -0.140244, -0.328571, -0.046748, -0.547619
covid19_1201-1801_stem-288-390, 0.203883, 0.174757, 0.291262, 0.330097, 0.049020, 0.049020, 0.058824, 0.049020, 0.058824, 0.039216, 0.019608, 0.058824, 0.019608, 0.058824, 0.068627, 0.137255, 0.078431, 0.029412, 0.137255, 0.088235, 0.466019, 1.666667, 103.000000, 34.000000, 0.330097, 0.411765, 0.411765, 0.176471, 0.137255, 0.137255, 0.058824, 0.104167, 0.062500, 0.114583, 0.145833, 0.031250, 0.031250, 0.041667, 0.020833, 0.020833, 0.020833, 0.010417, 0.041667, 0.000000, 0.010417, 0.010417, 0.020833, 0.010417, 0.052083, 0.031250, 0.031250, 0.000000, 0.000000, 0.010417, 0.000000, 0.010417, 0.010417, 0.000000, 0.010417, 0.031250, 0.000000, 0.062500, 0.052083, -27.500000, -29.960000, 0.018521, 8.150000, 0.023883, 0.210152, -0.266990, -0.572917, -0.088997, -0.808824
covid19_1501-2101_stem-457-548, 0.304348, 0.206522, 0.173913, 0.315217, 0.054945, 0.087912, 0.032967, 0.131868, 0.087912, 0.010989, 0.010989, 0.087912, 0.076923, 0.043956, 0.032967, 0.021978, 0.087912, 0.065934, 0.087912, 0.076923, 0.380435, 0.842105, 92.000000, 28.000000, 0.304348, 0.464286, 0.357143, 0.178571, 0.116071, 0.089286, 0.044643, 0.082353, 0.082353, 0.129412, 0.082353, 0.047059, 0.011765, 0.023529, 0.047059, 0.023529, 0.023529, 0.000000, 0.047059, 0.023529, 0.011765, 0.000000, 0.000000, 0.011765, 0.023529, 0.011765, 0.070588, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011765, 0.000000, 0.011765, 0.117647, 0.035294, 0.000000, 0.070588, -21.100000, -23.160000, 0.035543, 7.920000, 0.022391, 0.233605, -0.229348, -0.602857, -0.057337, -0.753571
covid19_1601-2201_stem-431-525, 0.231579, 0.189474, 0.221053, 0.357895, 0.053191, 0.085106, 0.042553, 0.053191, 0.074468, 0.010638, 0.010638, 0.095745, 0.010638, 0.053191, 0.063830, 0.095745, 0.085106, 0.042553, 0.106383, 0.117021, 0.410526, 1.166667, 95.000000, 30.000000, 0.315789, 0.466667, 0.300000, 0.233333, 0.116667, 0.075000, 0.058333, 0.107527, 0.064516, 0.096774, 0.161290, 0.021505, 0.000000, 0.043011, 0.032258, 0.000000, 0.010753, 0.043011, 0.010753, 0.010753, 0.010753, 0.010753, 0.010753, 0.021505, 0.021505, 0.021505, 0.032258, 0.000000, 0.010753, 0.010753, 0.000000, 0.010753, 0.010753, 0.000000, 0.032258, 0.053763, 0.064516, 0.000000, 0.075269, -27.300000, -29.190000, 0.046263, 10.710000, 0.019895, 0.275849, -0.287368, -0.700000, -0.071842, -0.910000
covid19_1701-2301_stem-108-245, 0.282609, 0.210145, 0.202899, 0.304348, 0.131387, 0.036496, 0.043796, 0.072993, 0.058394, 0.029197, 0.029197, 0.094891, 0.051095, 0.065693, 0.029197, 0.058394, 0.036496, 0.080292, 0.102190, 0.080292, 0.413043, 0.965517, 138.000000, 39.000000, 0.282609, 0.461538, 0.435897, 0.102564, 0.065934, 0.062271, 0.014652, 0.084615, 0.076923, 0.100000, 0.107692, 0.007692, 0.030769, 0.015385, 0.053846, 0.000000, 0.007692, 0.000000, 0.030769, 0.000000, 0.030769, 0.015385, 0.023077, 0.046154, 0.015385, 0.038462, 0.007692, 0.000000, 0.000000, 0.000000, 0.000000, 0.015385, 0.007692, 0.007692, 0.038462, 0.130769, 0.046154, 0.030769, 0.030769, -34.800000, -36.500000, 0.063351, 11.690000, 0.012319, 0.242267, -0.252174, -0.610526, -0.036025, -0.892308
covid19_1701-2301_stem-420-507, 0.318182, 0.125000, 0.272727, 0.284091, 0.137931, 0.045977, 0.103448, 0.022989, 0.011494, 0.034483, 0.022989, 0.057471, 0.114943, 0.011494, 0.068966, 0.080460, 0.045977, 0.034483, 0.080460, 0.126437, 0.397727, 2.181818, 88.000000, 31.000000, 0.352273, 0.516129, 0.322581, 0.161290, 0.129032, 0.080645, 0.040323, 0.089744, 0.102564, 0.128205, 0.166667, 0.051282, 0.025641, 0.012821, 0.051282, 0.051282, 0.012821, 0.025641, 0.012821, 0.012821, 0.000000, 0.000000, 0.025641, 0.038462, 0.000000, 0.051282, 0.038462, 0.000000, 0.000000, 0.000000, 0.000000, 0.012821, 0.000000, 0.012821, 0.000000, 0.025641, 0.000000, 0.038462, 0.012821, -25.600000, -27.270000, 0.066463, 9.210000, 0.018977, 0.229648, -0.290909, -0.731429, -0.072727, -0.825806
covid19_1901-2501_stem-14-83, 0.314286, 0.200000, 0.200000, 0.285714, 0.130435, 0.072464, 0.043478, 0.072464, 0.057971, 0.014493, 0.028986, 0.101449, 0.057971, 0.072464, 0.028986, 0.043478, 0.072464, 0.043478, 0.086957, 0.072464, 0.400000, 1.000000, 70.000000, 16.000000, 0.228571, 0.437500, 0.437500, 0.125000, 0.437500, 0.437500, 0.125000, 0.050000, 0.050000, 0.050000, 0.116667, 0.033333, 0.050000, 0.033333, 0.000000, 0.000000, 0.016667, 0.000000, 0.050000, 0.033333, 0.016667, 0.000000, 0.000000, 0.016667, 0.016667, 0.050000, 0.016667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.016667, 0.016667, 0.000000, 0.166667, 0.050000, 0.066667, 0.083333, -11.600000, -12.780000, 0.147046, 8.030000, 0.016857, 0.330474, -0.165714, -0.414286, -0.165714, -0.725000
covid19_1901-2501_stem-60-144, 0.305882, 0.200000, 0.164706, 0.329412, 0.047619, 0.095238, 0.035714, 0.130952, 0.083333, 0.000000, 0.011905, 0.095238, 0.083333, 0.035714, 0.023810, 0.023810, 0.095238, 0.059524, 0.095238, 0.083333, 0.364706, 0.823529, 85.000000, 30.000000, 0.352941, 0.566667, 0.300000, 0.133333, 0.141667, 0.075000, 0.033333, 0.115385, 0.064103, 0.141026, 0.141026, 0.064103, 0.025641, 0.000000, 0.051282, 0.025641, 0.025641, 0.000000, 0.051282, 0.012821, 0.000000, 0.000000, 0.025641, 0.025641, 0.025641, 0.025641, 0.064103, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.025641, 0.000000, 0.000000, 0.064103, 0.012821, 0.000000, 0.012821, -19.500000, -21.420000, 0.044603, 7.820000, 0.022588, 0.223087, -0.229412, -0.629032, -0.057353, -0.650000
covid19_1901-2501_stem-139-204, 0.242424, 0.181818, 0.242424, 0.333333, 0.046154, 0.076923, 0.061538, 0.046154, 0.076923, 0.015385, 0.015385, 0.076923, 0.015385, 0.046154, 0.061538, 0.123077, 0.092308, 0.046154, 0.107692, 0.092308, 0.424242, 1.333333, 66.000000, 22.000000, 0.333333, 0.545455, 0.318182, 0.136364, 0.272727, 0.159091, 0.068182, 0.140625, 0.062500, 0.062500, 0.171875, 0.015625, 0.031250, 0.046875, 0.031250, 0.000000, 0.015625, 0.031250, 0.015625, 0.015625, 0.000000, 0.015625, 0.031250, 0.015625, 0.015625, 0.046875, 0.031250, 0.000000, 0.000000, 0.000000, 0.000000, 0.015625, 0.015625, 0.015625, 0.000000, 0.015625, 0.046875, 0.031250, 0.062500, -18.100000, -19.190000, 0.170629, 7.140000, 0.016515, 0.286952, -0.274242, -0.646429, -0.137121, -0.822727
covid19_2101-2701_stem-22-107, 0.313953, 0.116279, 0.279070, 0.290698, 0.141176, 0.035294, 0.105882, 0.023529, 0.011765, 0.035294, 0.023529, 0.047059, 0.117647, 0.011765, 0.070588, 0.082353, 0.047059, 0.035294, 0.082353, 0.129412, 0.395349, 2.400000, 86.000000, 29.000000, 0.337209, 0.517241, 0.310345, 0.172414, 0.129310, 0.077586, 0.043103, 0.092105, 0.092105, 0.105263, 0.157895, 0.052632, 0.026316, 0.026316, 0.039474, 0.052632, 0.013158, 0.026316, 0.013158, 0.013158, 0.000000, 0.013158, 0.013158, 0.039474, 0.000000, 0.052632, 0.039474, 0.000000, 0.000000, 0.000000, 0.000000, 0.013158, 0.000000, 0.013158, 0.000000, 0.026316, 0.000000, 0.039474, 0.039474, -22.000000, -23.840000, 0.050379, 9.680000, 0.021395, 0.257043, -0.255814, -0.647059, -0.063953, -0.758621
covid19_2201-2801_stem-25-87, 0.301587, 0.142857, 0.285714, 0.269841, 0.145161, 0.048387, 0.064516, 0.048387, 0.048387, 0.032258, 0.016129, 0.048387, 0.080645, 0.032258, 0.064516, 0.112903, 0.016129, 0.032258, 0.145161, 0.064516, 0.428571, 2.000000, 63.000000, 15.000000, 0.238095, 0.466667, 0.533333, 0.000000, 0.233333, 0.266667, 0.000000, 0.054545, 0.072727, 0.072727, 0.054545, 0.054545, 0.036364, 0.018182, 0.018182, 0.018182, 0.000000, 0.018182, 0.000000, 0.054545, 0.018182, 0.000000, 0.018182, 0.018182, 0.018182, 0.036364, 0.054545, 0.000000, 0.000000, 0.000000, 0.000000, 0.018182, 0.000000, 0.018182, 0.036364, 0.109091, 0.000000, 0.090909, 0.090909, -14.800000, -16.120000, 0.117746, 7.990000, 0.020952, 0.321152, -0.234921, -0.548148, -0.117460, -0.986667
covid19_2201-2801_stem-82-217, 0.286765, 0.147059, 0.213235, 0.352941, 0.103704, 0.051852, 0.059259, 0.066667, 0.059259, 0.007407, 0.007407, 0.074074, 0.059259, 0.044444, 0.044444, 0.066667, 0.066667, 0.044444, 0.096296, 0.148148, 0.360294, 1.450000, 136.000000, 38.000000, 0.279412, 0.447368, 0.368421, 0.184211, 0.089474, 0.073684, 0.036842, 0.109375, 0.062500, 0.093750, 0.117188, 0.007812, 0.039062, 0.007812, 0.039062, 0.007812, 0.000000, 0.000000, 0.015625, 0.015625, 0.000000, 0.015625, 0.046875, 0.007812, 0.007812, 0.054688, 0.023438, 0.000000, 0.000000, 0.007812, 0.000000, 0.039062, 0.007812, 0.000000, 0.031250, 0.093750, 0.039062, 0.039062, 0.070312, -37.200000, -38.500000, 0.120474, 12.500000, 0.009559, 0.301719, -0.273529, -0.759184, -0.054706, -0.978947
