miRNA Name;Gene Symbol;Gene Description;
99;submission;XPO7;exportin 7
98;submission;ARID4B;AT-rich interaction domain 4B
98;submission;MAPK1;mitogen-activated protein kinase 1
97;submission;RBSN;rabenosyn, RAB effector
96;submission;AK5;adenylate kinase 5
96;submission;RBMS1;RNA binding motif single stranded interacting protein 1
96;submission;IFT122;intraflagellar transport 122
96;submission;DCUN1D3;defective in cullin neddylation 1 domain containing 3
96;submission;UNC5D;unc-5 netrin receptor D
95;submission;FNDC3B;fibronectin type III domain containing 3B
95;submission;SATB1;SATB homeobox 1
95;submission;RAP1B;RAP1B, member of RAS oncogene family
95;submission;SIPA1L2;signal induced proliferation associated 1 like 2
95;submission;SALL1;spalt like transcription factor 1
95;submission;DOP1B;DOP1 leucine zipper like protein B
94;submission;STK39;serine/threonine kinase 39
94;submission;DCX;doublecortin
94;submission;SKIL;SKI like proto-oncogene
94;submission;WNK3;WNK lysine deficient protein kinase 3
93;submission;CHIC1;cysteine rich hydrophobic domain 1
93;submission;ZNF474;zinc finger protein 474
93;submission;NRP2;neuropilin 2
93;submission;GPC6;glypican 6
93;submission;CAMK2B;calcium/calmodulin dependent protein kinase II beta
92;submission;USP32;ubiquitin specific peptidase 32
92;submission;RHBDF1;rhomboid 5 homolog 1
92;submission;CYTH1;cytohesin 1
92;submission;CREBRF;CREB3 regulatory factor
92;submission;SPOPL;speckle type BTB/POZ protein like
91;submission;ZFP36L1;ZFP36 ring finger protein like 1
91;submission;SCLT1;sodium channel and clathrin linker 1
91;submission;SV2C;synaptic vesicle glycoprotein 2C
91;submission;CA10;carbonic anhydrase 10
91;submission;TRIAP1;TP53 regulated inhibitor of apoptosis 1
91;submission;HOXD10;homeobox D10
91;submission;ZBTB6;zinc finger and BTB domain containing 6
91;submission;PKD1L1;polycystin 1 like 1, transient receptor potential channel interacting
91;submission;FBXL20;F-box and leucine rich repeat protein 20
91;submission;UBXN8;UBX domain protein 8
91;submission;ZFP36L2;ZFP36 ring finger protein like 2
90;submission;CLK2;CDC like kinase 2
90;submission;DBI;diazepam binding inhibitor, acyl-CoA binding protein
90;submission;CADM1;cell adhesion molecule 1
90;submission;FAM126B;family with sequence similarity 126 member B
90;submission;RICTOR;RPTOR independent companion of MTOR complex 2
90;submission;SVIL;supervillin
90;submission;USF3;upstream transcription factor family member 3
90;submission;KPNA4;karyopherin subunit alpha 4
90;submission;RIMBP3;RIMS binding protein 3
90;submission;RIMBP3B;RIMS binding protein 3B
90;submission;RIMBP3C;RIMS binding protein 3C
89;submission;GPD2;glycerol-3-phosphate dehydrogenase 2
89;submission;ASPH;aspartate beta-hydroxylase
89;submission;RNF13;ring finger protein 13
89;submission;INSIG1;insulin induced gene 1
89;submission;ANKRD46;ankyrin repeat domain 46
89;submission;PURG;purine rich element binding protein G
89;submission;TNS3;tensin 3
89;submission;LRP6;LDL receptor related protein 6
89;submission;MGAT4A;alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
89;submission;GSK3B;glycogen synthase kinase 3 beta
89;submission;VXN;vexin
89;submission;MYB;MYB proto-oncogene, transcription factor
88;submission;DPP6;dipeptidyl peptidase like 6
88;submission;NXN;nucleoredoxin
88;submission;AKIRIN1;akirin 1
88;submission;MYCL;MYCL proto-oncogene, bHLH transcription factor
88;submission;GOLGB1;golgin B1
88;submission;LRRC58;leucine rich repeat containing 58
88;submission;IFNA8;interferon alpha 8
88;submission;ACTN4;actinin alpha 4
87;submission;ST8SIA2;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
87;submission;CSRNP1;cysteine and serine rich nuclear protein 1
87;submission;TBX19;T-box 19
87;submission;RORB;RAR related orphan receptor B
87;submission;PPM1D;protein phosphatase, Mg2+/Mn2+ dependent 1D
87;submission;EPHB4;EPH receptor B4
87;submission;EFCAB14;EF-hand calcium binding domain 14
87;submission;KDM4C;lysine demethylase 4C
87;submission;C1QL3;complement C1q like 3
86;submission;RAP1A;RAP1A, member of RAS oncogene family
86;submission;MYLK2;myosin light chain kinase 2
86;submission;CHD9;chromodomain helicase DNA binding protein 9
86;submission;HMBOX1;homeobox containing 1
86;submission;DDX3X;DEAD-box helicase 3 X-linked
86;submission;DEFA3;defensin alpha 3
86;submission;ESYT2;extended synaptotagmin 2
86;submission;CYP1B1;cytochrome P450 family 1 subfamily B member 1
86;submission;GLP1R;glucagon like peptide 1 receptor
86;submission;PROSER2;proline and serine rich 2
86;submission;CNOT6L;CCR4-NOT transcription complex subunit 6 like
